,VH,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VHVV,VHVV_1,VHVV_2,VHVV_3,VHVV_4,VHVV_5,VHVV_6,VHVV_7,VHVV_8,VHVV_9,VHVV_10,VHVV_11,VHVV_12,VHVV_13
41,-15.74425825,-17.46867407,-20.23106379,-20.89550399,-18.01923484,-15.37856962,-17.58629477,-19.46456613,-19.43230177,-17.37524794,-16.44492556,-16.01833048,-14.8509911,-15.43039473,-6.150625286,-7.73680543,-10.11485435,-10.33883444,-7.792500638,-5.69855519,-5.990871775,-7.208067489,-6.897079388,-5.292843608,-4.114455658,-5.372608257,-6.138028899,-7.357890053
42,-14.79841306,-18.31682467,-21.50608222,-20.85830263,-17.96174206,-15.94019305,-19.02020159,-20.0422809,-19.35046259,-16.18202815,-15.91535203,-14.630011,-13.69673295,-13.97117408,-5.588190741,-8.211649477,-10.63862342,-10.53208361,-7.398655451,-5.559966078,-6.886811606,-8.683571136,-7.731468323,-5.148491914,-3.379333329,-4.431068571,-5.386816603,-7.148661835
43,-17.34615716,-18.76958241,-20.36007796,-19.70688721,-17.53855993,-15.47371748,-16.99471991,-18.76083245,-18.92042386,-17.11399471,-16.13554523,-15.70779561,-15.13635961,-15.099063,-6.886006314,-7.843528628,-9.262204818,-9.622076489,-7.330614884,-5.113539231,-6.739471294,-8.698252839,-7.879521156,-5.342618652,-4.27906863,-5.546539417,-6.229801185,-6.615064605
44,-17.51234127,-19.29122155,-20.77831081,-19.83657364,-17.37791781,-15.67072265,-16.36002744,-17.02339243,-17.74327371,-16.82339056,-16.55195692,-15.70192213,-14.9850739,-14.79954943,-6.753421678,-8.151442121,-9.923518852,-9.397199391,-7.28094418,-5.113062982,-6.05227883,-7.92258007,-8.18502085,-5.701398109,-4.312169898,-4.945849448,-5.80735674,-6.543024377
45,-16.35959326,-18.91762729,-21.75657931,-20.76902834,-18.87269583,-15.84593132,-17.73587263,-19.18795651,-19.40757053,-17.11822666,-16.7453609,-15.82285565,-14.3080076,-13.91072855,-6.755956219,-7.776143075,-9.175576534,-9.749872877,-7.696822259,-5.336206723,-6.530070333,-8.905639786,-8.399994049,-5.721128206,-4.400383051,-5.021744735,-5.356917181,-6.460519217
46,-15.39854935,-18.22614315,-20.98374379,-20.51255699,-18.87999822,-16.51400192,-18.52712784,-20.18804775,-20.22013835,-17.22409351,-16.22908986,-15.34597037,-13.88512855,-13.2843433,-6.539616165,-8.543334289,-9.963111922,-9.750406895,-7.340614218,-5.362629832,-5.609821987,-8.126813612,-7.699374937,-5.474247337,-3.151223018,-4.827636114,-5.488493589,-6.196337566
47,-17.9559014,-19.98238705,-21.91010412,-20.33144723,-17.98564669,-15.83111364,-18.73886379,-19.99464903,-20.05172946,-17.37369688,-16.90119398,-15.79370259,-15.29457841,-15.44500387,-7.08843304,-7.712347682,-9.373817787,-9.460856478,-7.762266906,-5.191945162,-7.172632532,-8.307936925,-7.658489907,-4.649211535,-4.173333796,-4.358178768,-5.232277035,-6.065539651
48,-15.59201542,-17.38677596,-20.87753082,-21.25031662,-18.85563001,-15.8674711,-16.95179679,-18.66381117,-19.03027653,-17.18331581,-16.55638139,-16.17120527,-14.914075,-15.05672151,-6.372397499,-7.329833569,-10.12261554,-11.06300328,-9.217130297,-6.351539417,-7.54814418,-9.455534,-8.360269325,-4.77373504,-3.223650502,-5.185781681,-6.113600266,-7.22003174
49,-18.27455156,-19.96284354,-22.53910396,-21.38777984,-18.72887755,-16.29716704,-19.03641467,-19.72894037,-19.31298772,-15.97064308,-16.19089894,-15.24110577,-14.90354768,-14.46279314,-6.638050919,-7.987847272,-10.61399912,-10.46997409,-7.498096285,-4.429996654,-6.194940766,-7.832725828,-7.321687368,-4.360787174,-3.80620205,-4.145603686,-5.467741106,-6.308314839
50,-15.99931152,-17.79414378,-21.35418773,-21.14609293,-18.03934525,-15.75434982,-17.65523674,-18.62630064,-18.14834092,-16.46305601,-16.14406551,-15.72386346,-15.16276302,-14.95300241,-6.712159608,-7.830396834,-9.45581692,-9.835422415,-7.237211187,-5.100719949,-6.858228266,-8.857573408,-7.798972568,-4.756040483,-3.854365679,-4.972001315,-5.780905904,-6.674779542
51,-17.77651972,-20.21765107,-23.14785533,-21.87658134,-19.12595424,-15.63132249,-17.9572597,-19.18488256,-19.08726589,-16.8900198,-16.79680184,-16.13485842,-15.28342232,-14.86907323,-7.500355611,-8.312531775,-10.53094239,-11.08751958,-9.23403452,-6.234886764,-6.858049039,-8.977590898,-7.789008789,-4.584184576,-2.39298957,-4.496547058,-5.988909986,-7.104103507
52,-15.77441895,-18.79400718,-21.29207739,-19.97521976,-17.74436347,-15.40308551,-16.79385588,-17.81230807,-17.99128341,-16.28101006,-15.83258161,-15.27140363,-14.52328282,-15.61500069,-5.423970379,-6.827079988,-8.645690151,-8.967624857,-7.11062854,-4.747520262,-6.127942109,-7.952890367,-6.755000614,-4.304606082,-3.235604009,-4.516340796,-4.82279109,-6.689746935
53,-15.63653729,-18.19819384,-21.35200028,-21.06968843,-19.33412151,-16.95873693,-17.84382036,-18.44029363,-19.06507968,-16.84134759,-16.33672947,-16.17112335,-15.2659097,-13.93706335,-6.289857697,-7.646110642,-9.351911589,-9.181480335,-7.69292616,-5.2587533,-5.694459184,-7.703767617,-7.96928475,-5.332056116,-3.24510235,-4.76878199,-5.621898484,-5.855304318
54,-17.63918244,-19.12018807,-22.01875608,-21.08939787,-18.10450409,-16.53977881,-18.74530927,-19.54664381,-18.32152046,-16.48977972,-16.06571607,-15.71272809,-14.56296418,-13.81174553,-7.06631323,-7.849283963,-9.607488771,-9.960273687,-7.053292468,-5.538314168,-7.1023891,-8.849194038,-7.140685246,-4.618578893,-3.19852754,-5.025635516,-6.020610476,-7.380523276
55,-17.80684786,-20.4558608,-22.89531434,-21.33497119,-18.46593055,-16.07913629,-18.15515844,-19.13552469,-19.24817665,-17.27767071,-16.636499,-15.54347843,-15.16846476,-15.5694615,-6.736102544,-8.342763452,-10.19662797,-9.952912487,-6.896160892,-4.561362509,-6.080305053,-7.905518027,-7.086830829,-4.310554763,-2.891698364,-4.703274992,-6.286452199,-7.773602448
56,-15.03747574,-17.338786,-21.69404025,-22.31160187,-19.47119427,-16.22393385,-18.03602847,-19.00682645,-19.17374736,-17.00445657,-16.1020043,-15.25760118,-14.30850384,-14.34496161,-5.18574542,-6.949616718,-9.882625614,-10.73605434,-8.113632668,-5.645349004,-6.788591051,-8.897511733,-8.452116446,-5.852052737,-4.080822489,-5.118416674,-5.710855273,-6.826955506
57,-16.050575,-19.12997842,-21.89416212,-21.44811727,-18.23838847,-15.94896396,-16.87838365,-17.59502846,-17.88929998,-16.8391268,-16.44295902,-15.29446641,-14.43346919,-14.63617514,-6.015910223,-7.614872002,-9.95197956,-10.48056201,-7.973365219,-4.947030525,-6.193891567,-8.597381319,-8.739491672,-5.812044907,-4.152364244,-4.801568098,-6.028264653,-7.436815896
58,-18.2766143,-20.31765938,-21.90225001,-21.57937967,-18.82314064,-16.13812503,-17.43157639,-18.22349406,-18.37825333,-16.56279729,-16.27318986,-15.29687946,-14.85742759,-14.86893384,-7.168331139,-8.448114311,-10.06085732,-10.65823805,-8.455856189,-5.857662286,-6.558507355,-7.357876255,-6.611538183,-4.611485297,-4.097736147,-4.678599877,-5.366768723,-6.877369392
59,-14.94406028,-18.00872747,-21.83981105,-21.47289912,-19.24108402,-15.99481478,-18.22526004,-19.90541731,-19.92540682,-17.43007152,-17.15665719,-16.28042852,-13.92015568,-13.21661442,-5.840529737,-7.555597409,-10.17581904,-10.95268068,-8.622402131,-5.384328012,-5.99170109,-8.842087891,-8.446644992,-5.397249528,-3.295651392,-4.469969315,-5.04089815,-6.558641661
60,-15.66522169,-17.63371874,-20.74834391,-20.5617347,-19.35503629,-17.02897445,-18.05978984,-18.50982382,-18.90706028,-17.53294024,-16.84309573,-16.21390532,-15.11066011,-14.57085445,-6.711653269,-8.010465056,-10.02863105,-11.16791729,-8.4470458,-6.466232169,-7.247468176,-9.436297869,-8.781683811,-5.220023472,-3.186697247,-4.740620171,-6.080413192,-6.787210615
61,-16.42112235,-18.20083687,-20.915529,-20.66233248,-18.55943224,-16.40777096,-18.11905025,-18.93959675,-19.08769589,-17.54757563,-17.57697116,-16.47923362,-15.26478873,-14.51042679,-7.196841455,-7.930630015,-9.381517436,-9.9105821,-7.813941517,-4.815446882,-5.919278798,-8.896149322,-8.573336615,-5.347530249,-4.133866308,-4.634040315,-5.195882641,-5.508284554
62,-16.15509308,-18.59939125,-23.37217259,-22.40015157,-18.64479523,-15.75590246,-18.98485056,-20.44103932,-18.98176152,-16.54873579,-16.24465413,-16.41064598,-14.7708734,-14.3623034,-7.094640956,-7.733282842,-10.5065712,-10.72331525,-8.817761446,-5.423392352,-7.23839576,-8.933710884,-7.458087623,-3.971646008,-2.850282683,-4.437922514,-5.019294591,-5.825981445
63,-17.08538264,-19.64384471,-20.92364435,-19.96563136,-18.29776724,-17.02826354,-18.14950359,-18.72796278,-18.80458968,-17.26410567,-16.63556345,-15.06756709,-14.02246314,-14.1748589,-6.144559834,-8.112487041,-9.455729829,-9.387350926,-7.062397856,-5.382937376,-6.2591065,-7.495458277,-6.83500123,-4.313198047,-3.522232954,-4.671920381,-5.615350218,-6.513366272
